n      Ns_stage
1     1.474
2     1.232
3     1.134
4     1.094
5     1.071
6     1.057
7     1.047
8     1.041
9     1.036
10     1.032
11     1.030
12     1.027
13     1.025
14     1.023
15     1.022
16     1.021
17     1.020
18     1.019
19     1.019
20     1.018
21     1.017
22     1.017
23     1.017
24     1.016
25     1.016
26     1.016
27     1.016
28     1.016
29     1.015
30     1.015
31     1.015
32     1.015
33     1.015
34     1.015
35     1.015
36     1.015
37     1.015
38     1.015
39     1.015
40     1.015
41     1.016
42     1.015
43     1.016
44     1.016
45     1.016
46     1.016
47     1.016
48     1.017
49     1.017
50     1.017
51     1.017
52     1.017
53     1.018
54     1.018
55     1.018
56     1.018
57     1.018
58     1.019
59     1.019
60     1.019
61     1.020
62     1.020
63     1.020
64     1.021
65     1.021
66     1.021
67     1.022
68     1.022
69     1.022
70     1.023
71     1.023
72     1.024
73     1.024
74     1.024
75     1.025
76     1.025
77     1.026
78     1.026
79     1.027
80     1.027
81     1.028
82     1.028
83     1.029
84     1.029
85     1.030
86     1.031
87     1.031
88     1.032
89     1.033
90     1.033
91     1.033
92     1.035
93     1.035
94     1.036
95     1.036
96     1.037
97     1.038
98     1.039
99     1.039
100     1.040
